bench,alloc_type,total,bit_pos,p_one,entropy
perlbench,32bits,10686177,7,0.20255391614793578,0.7270066142877061
perlbench,32bits,10686177,8,0.2010607722481108,0.7240445730443166
perlbench,32bits,10686177,9,0.1858271671899127,0.6926601396921033
perlbench,32bits,10686177,10,0.07867584450454078,0.3974961741668816
perlbench,32bits,10686177,11,0.048205639865407435,0.2787251853720562
perlbench,32bits,10686177,12,0.24808235910747126,0.8082245638917691
perlbench,32bits,10686177,13,0.24731482549839853,0.8069944181008537
perlbench,32bits,10686177,14,0.15292849818976423,0.6171206094773404
perlbench,32bits,10686177,15,0.2625949392378584,0.8306369793003867
perlbench,32bits,10686177,16,0.24591610264363017,0.8047409009092055
perlbench,32bits,10686177,17,0.18442067729179482,0.6896529340030926
perlbench,32bits,10686177,18,0.10899098901318965,0.49686495470449915
perlbench,32bits,10686177,19,0.18647641715086696,0.6940419260010966
perlbench,32bits,10686177,20,0.24610391536655252,0.8050443740389506
perlbench,32bits,10686177,21,0.21472010055607352,0.7504086928819915
perlbench,32bits,10686177,22,0.1398735955805336,0.5839076741129029
perlbench,32bits,10686177,23,0.17265837913783386,0.6637500445355373
perlbench,32bits,10686177,24,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,25,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,26,0.17265791124365618,0.6637489868302541
perlbench,32bits,10686177,27,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,28,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,29,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,30,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,31,0.030092520458906865,0.1948556313585513
perlbench,32bits,10686177,32,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,33,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,34,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,35,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,36,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,37,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,38,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,39,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,40,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,41,0.03009242688007133,0.1948551624937183
perlbench,32bits,10686177,42,0.03009242688007133,0.1948551624937183
