bench,addr,generation,alloc_type,alloc_size,offset,writes,pct_of_buffer,pct_of_bench
mcf,0x5c5c060,1,64bits,151373088,7373088,657014,0.5422491119229984,0.11570052337117148
mcf,0x5c5c060,1,64bits,151373088,7373112,657014,0.5422491119229984,0.11570052337117148
mcf,0x5c5c060,1,64bits,151373088,7373096,657014,0.5422491119229984,0.11570052337117148
mcf,0x5c5c060,1,64bits,151373088,7373144,657014,0.5422491119229984,0.11570052337117148
mcf,0x4c4eaa0,3,64bits,136352,84208,24172,0.025611483980897257,0.004256702370007271
mcf,0x4c4eaa0,3,64bits,136352,102064,23808,0.025225807157752852,0.004192601771683481
mcf,0x4c4eaa0,3,64bits,136352,31952,23728,0.025141043020798035,0.004178513728095835
mcf,0x4c4eaa0,3,64bits,136352,12688,23706,0.02511773288313546,0.0041746395161092326
mcf,0x4c4eaa0,3,64bits,136352,64336,23592,0.024996943987974852,0.004154564053996837
mcf,0x4c4eaa0,2,64bits,136352,24016,19786,0.0712406377394488,0.003484325380314573
mcf,0x4c4eaa0,2,64bits,136352,68656,19694,0.07090938641669385,0.0034681241301887803
mcf,0x4c4eaa0,2,64bits,136352,18896,19518,0.07027568823403223,0.0034371304342959586
mcf,0x4c4eaa0,2,64bits,136352,67184,19188,0.06908750414154168,0.0033790172544969185
mcf,0x4c4eaa0,2,64bits,136352,68848,19130,0.06887867178589181,0.003368803422895875
mcf,0x17d16060,1,64bits,16000000,8014328,70,0.0002841254330984861,1.2327038139190342e-05
mcf,0x17d16060,1,64bits,16000000,8014336,66,0.0002678896940642869,1.1622635959808037e-05
mcf,0x17d16060,1,64bits,16000000,8014344,65,0.00026383075930573705,1.1446535414962461e-05
mcf,0x17d16060,1,64bits,16000000,12337032,63,0.00025571288978863747,1.1094334325271309e-05
mcf,0x17d16060,1,64bits,16000000,8014352,62,0.0002516539550300877,1.0918233780425732e-05
mcf,0x17d16060,2,64bits,295373088,7670576,60,0.0002447832507550237,1.056603269073458e-05
mcf,0x17d16060,2,64bits,295373088,7667696,60,0.0002447832507550237,1.056603269073458e-05
mcf,0x17d16060,2,64bits,295373088,7670520,56,0.00022846436737135548,9.861630511352273e-06
mcf,0x17d16060,2,64bits,295373088,7667640,56,0.00022846436737135548,9.861630511352273e-06
mcf,0x17d16060,2,64bits,295373088,7670584,52,0.00021214548398768723,9.157228331969968e-06
mcf,0x296c7060,1,64bits,295373088,56,29,0.0001627397380810538,5.106915800521714e-06
mcf,0x296c7060,1,64bits,295373088,322904,29,0.0001627397380810538,5.106915800521714e-06
mcf,0x296c7060,1,64bits,295373088,565040,28,0.0001571280229748106,4.930815255676137e-06
mcf,0x296c7060,1,64bits,295373088,267536,28,0.0001571280229748106,4.930815255676137e-06
mcf,0x296c7060,1,64bits,295373088,325712,28,0.0001571280229748106,4.930815255676137e-06
mcf,0xecb9060,1,64bits,151373088,16357640,8,5.245903703306375e-05,1.4088043587646106e-06
mcf,0xecb9060,1,64bits,151373088,10597424,8,5.245903703306375e-05,1.4088043587646106e-06
mcf,0xecb9060,1,64bits,151373088,14049176,8,5.245903703306375e-05,1.4088043587646106e-06
mcf,0xecb9060,1,64bits,151373088,71899592,7,4.5901657403930785e-05,1.2327038139190342e-06
mcf,0xecb9060,1,64bits,151373088,16706624,7,4.5901657403930785e-05,1.2327038139190342e-06
mcf,0x5c5c060,2,64bits,31984640,540064,1144,0.009165708967588643,0.00020145902330333932
mcf,0x5c5c060,2,64bits,31984640,540072,1142,0.00914968500086209,0.00020110682221364815
mcf,0x5c5c060,2,64bits,31984640,540080,1140,0.009133661034135536,0.00020075462112395702
