bench,addr,generation,alloc_type,alloc_size,total,pct_fp8_e4m3,pct_fp8_e5m2,pct_bf16,pct_fp16,pct_fp32,site
wrf,0xb127060,1,32bits,667968,3714792,0.04495406472287,0.044953257140642,0.0449772154134067,0.0451276949018949,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xa46dbc0,1,32bits,667968,3714792,1.0,1.0,1.0,1.0,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0x86aa000,1,32bits,667968,3706032,0.0781574471024535,0.0781571772720796,0.0781944138636687,0.0784785452473157,1.0,__module_alloc_space_1_MOD_alloc_space_field_core_1
wrf,0xb7b36e0,1,32bits,667968,3502572,1.0,1.0,1.0,1.0,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xbb10540,1,32bits,667968,3502572,0.0476778207557189,0.0476775352512382,0.0476906684573507,0.0478048702496336,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xb927060,1,32bits,667968,3502572,1.0,1.0,1.0,1.0,1.0,__module_alloc_space_2_MOD_alloc_space_field_core_2
wrf,0xe5ca200,25,32bits,667968,2827950,0.1387376014427412,0.1387326508601637,0.1388143354726922,0.1393044431478633,1.0,solve_em_
wrf,0xe5ca200,17,32bits,667968,2827950,0.1387319436340812,0.1387294683427924,0.1387902897858873,0.1391654732226524,1.0,solve_em_
wrf,0xe5ca200,18,32bits,667968,2827950,0.1387319436340812,0.1387298219558337,0.1387920578510935,0.1391453172793012,1.0,solve_em_
wrf,0xe5ca200,29,32bits,667968,2827950,0.1387340653123287,0.1387308827949575,0.1388207005074347,0.1393164659912657,1.0,solve_em_
wrf,0xe5ca200,15,32bits,667968,2827950,0.1387326508601637,0.1387305291819162,0.1387948867554235,0.1391651196096112,1.0,solve_em_
wrf,0xe5ca200,21,32bits,667968,2827950,0.1387347725384112,0.1387330044732049,0.1387874608815573,0.1391718382573949,1.0,solve_em_
wrf,0xe5ca200,14,32bits,667968,2827950,0.1387326508601637,0.1387312364079987,0.1387807422337735,0.139123746883785,1.0,solve_em_
wrf,0xe456880,1,32bits,667968,2827950,0.1734825580367404,0.1734825580367404,0.1735066037235453,0.1736689121094786,1.0,solve_em_
wrf,0xe456880,8,32bits,667968,2827950,0.1387305291819162,0.1387298219558337,0.1387708410686186,0.1390480736929578,1.0,solve_em_
wrf,0xe5ca200,16,32bits,667968,2827950,0.1387326508601637,0.1387301755688749,0.1387740235859898,0.139051256210329,1.0,solve_em_
wrf,0xe456880,4,32bits,667968,2827950,0.1387322972471224,0.1387294683427924,0.1387673049382061,0.138970278823883,1.0,solve_em_
wrf,0xe5ca200,19,32bits,667968,2827950,0.1387305291819162,0.1387298219558337,0.1387807422337735,0.1390940433883201,1.0,solve_em_
wrf,0xe5ca200,13,32bits,667968,2827950,0.1387294683427924,0.1387284075036687,0.1387655368729999,0.1390180165844516,1.0,solve_em_
wrf,0xe456880,10,32bits,667968,2827950,0.1387312364079987,0.1387294683427924,0.1387736699729486,0.1390388797538853,1.0,solve_em_
wrf,0xe456880,2,32bits,667968,2827950,0.1387301755688749,0.1387284075036687,0.1387559893208861,0.1389469403631606,1.0,solve_em_
wrf,0xe5ca200,24,32bits,667968,2827950,0.1387312364079987,0.1387298219558337,0.1387832175250623,0.13914496366626,1.0,solve_em_
wrf,0xe5ca200,30,32bits,667968,2827950,0.1387322972471224,0.1387315900210399,0.1388065559857847,0.139238671122191,1.0,solve_em_
wrf,0xe5ca200,27,32bits,667968,2827950,0.1387347725384112,0.1387308827949575,0.1387938259162998,0.1391591081879099,1.0,solve_em_
wrf,0xe5ca200,28,32bits,667968,2827950,0.1387326508601637,0.1387305291819162,0.1388281263813009,0.1393917855690518,1.0,solve_em_
wrf,0xe456880,6,32bits,667968,2827950,0.1387315900210399,0.1387301755688749,0.1387726091338248,0.1390321611061016,1.0,solve_em_
wrf,0xe456880,3,32bits,667968,2827950,0.1387308827949575,0.1387305291819162,0.1387662440990823,0.138966035467388,1.0,solve_em_
wrf,0xe5ca200,23,32bits,667968,2827950,0.1387351261514524,0.1387326508601637,0.1388072632118672,0.139305503986987,1.0,solve_em_
wrf,0xe5ca200,22,32bits,667968,2827950,0.1387333580862462,0.1387319436340812,0.138794179529341,0.1391997736876536,1.0,solve_em_
wrf,0xe5ca200,20,32bits,667968,2827950,0.1387354797644937,0.1387322972471224,0.1387952403684648,0.1392270018918297,1.0,solve_em_
wrf,0xe456880,7,32bits,667968,2827950,0.1387308827949575,0.1387298219558337,0.1387687193903711,0.1390137732279566,1.0,solve_em_
wrf,0xe5ca200,12,32bits,667968,2827950,0.1387312364079987,0.1387298219558337,0.1387835711381035,0.1391163210099188,1.0,solve_em_
wrf,0xe5ca200,26,32bits,667968,2827950,0.1387397231209887,0.1387337116992874,0.1388284799943422,0.1393451086476069,1.0,solve_em_
wrf,0xe5ca200,11,32bits,667968,2827950,0.1387308827949575,0.1387291147297512,0.1387764988772785,0.1390961650665676,1.0,solve_em_
